University,Course,Department,Branch,Semester,CGPA,Interest,Mode_of_Study,Institution_Type,Location,Medium_of_Education,career_readiness
Pune University,PhD Research,Research,Interdisciplinary,1,9.27,Research,Distance,Deemed,Semi-Urban,Hindi,1
Symbiosis International University,MA English,Arts,Political Science,4,8.03,Teaching,Regular,Private,Urban,Hindi,0
IIT Delhi,MBA HR,Management,HR,3,8.63,Teaching,Online,Deemed,Rural,English,0
Patna University,MA Psychology,Arts,History,1,6.14,Teaching,Online,Government,Rural,Hindi,0
Teerthanker Mahaveer University (TMU),BA Psychology,Arts,History,7,5.78,Research,Distance,Government,Rural,Hindi,0
VIT Vellore,BCA,IT,Data Science,6,6.15,Job,Distance,Deemed,Semi-Urban,Regional,0
LPU Phagwara,B.Tech Electrical,Engineering,Civil,4,7.47,Teaching,Online,Deemed,Semi-Urban,Hindi,0
IIT Delhi,Mass Communication,Commerce,Banking,2,9.0,Teaching,Regular,Government,Semi-Urban,Regional,1
University of Oxford,B.Tech Mechanical,Engineering,Electrical,7,6.77,Job,Regular,Government,Semi-Urban,Hindi,1
University of Mumbai,B.Tech Electronics,Engineering,Electrical,1,7.82,Job,Distance,Deemed,Rural,English,1
MIT Manipal,M.Sc Data Science,IT,AI,4,9.02,Research,Regular,Government,Semi-Urban,English,0
IIT Indore,Cyber Security Specialization,General,General Studies,2,6.19,Teaching,Distance,Deemed,Semi-Urban,Regional,0
Stanford University,MBA Marketing,Management,Finance,7,9.41,Research,Regular,Private,Semi-Urban,Hindi,1
Pune University,B.Tech Electronics,Engineering,Civil,7,9.77,Job,Distance,Deemed,Rural,Hindi,1
University of Cambridge,M.Sc Data Science,IT,AI,5,5.19,Teaching,Regular,Deemed,Rural,Hindi,2
Teerthanker Mahaveer University (TMU),M.Sc Data Science,IT,Software,3,5.3,Research,Distance,Private,Semi-Urban,Regional,0
Allahabad University,B.Pharma,Medical,General Medicine,4,5.45,Research,Online,Deemed,Urban,Regional,0
DIT University,LLB,Law,Corporate Law,7,8.88,Job,Online,Deemed,Urban,Regional,1
Punjab University,MCA,IT,AI,5,5.95,Teaching,Online,Private,Semi-Urban,Regional,0
Harvard University,B.Tech Computer Science,Engineering,Electrical,6,8.63,Research,Online,Government,Semi-Urban,Regional,1
Sharda University,Nursing,General,General Studies,8,7.21,Research,Distance,Government,Semi-Urban,Regional,0
Madras University,MBA HR,Management,Marketing,6,9.18,Job,Regular,Government,Rural,English,2
University of Oxford,LLB,Law,Criminal Law,2,9.04,Teaching,Distance,Government,Urban,English,1
University of Hyderabad,PhD Research,Research,Interdisciplinary,7,9.8,Job,Distance,Government,Rural,Hindi,1
Jadavpur University,LLB,Law,Criminal Law,7,6.26,Research,Distance,Private,Urban,Hindi,0
UPES Dehradun,B.Sc Data Science,IT,AI,1,6.15,Teaching,Regular,Private,Rural,Regional,0
PES University,BA English,Arts,English,7,5.16,Job,Distance,Deemed,Rural,English,0
Teerthanker Mahaveer University (TMU),B.Tech Electronics,Engineering,Computer Science,3,7.05,Teaching,Online,Government,Semi-Urban,Regional,0
OP Jindal Global University,Animation & VFX,Design,UI/UX,2,7.3,Teaching,Online,Private,Semi-Urban,English,0
RV College of Engineering,BA Psychology,Arts,English,4,9.82,Teaching,Distance,Private,Semi-Urban,English,1
Massachusetts Institute of Technology (MIT USA),Hotel Management,Management,HR,7,9.15,Research,Online,Government,Rural,English,1
IIT Bombay,MBA Marketing,Management,Marketing,8,5.83,Teaching,Online,Private,Semi-Urban,English,1
Thapar University,MBA HR,Management,HR,3,8.99,Job,Regular,Deemed,Rural,Regional,1
PES University,Hotel Management,Management,Marketing,7,5.89,Teaching,Distance,Deemed,Rural,Regional,0
IISc Bangalore,B.Ed,Education,Teaching,5,5.39,Teaching,Distance,Government,Semi-Urban,Regional,0
University of Mumbai,M.Sc Data Science,IT,AI,3,9.19,Research,Online,Government,Semi-Urban,English,1
IIT Guwahati,Animation & VFX,Design,UI/UX,5,9.88,Job,Distance,Government,Rural,Hindi,1
Chandigarh University,M.Tech AI,Engineering,Electrical,2,5.44,Teaching,Distance,Deemed,Urban,Regional,0
Aligarh Muslim University,B.Tech Computer Science,Engineering,Mechanical,8,9.07,Research,Online,Private,Urban,Regional,1
IIT Kanpur,BCA,IT,Software,7,9.3,Research,Online,Deemed,Rural,Hindi,2
Allahabad University,B.Pharma,Medical,General Medicine,1,5.59,Teaching,Distance,Government,Semi-Urban,Regional,0
University of Oxford,LLB,Law,Corporate Law,6,6.42,Teaching,Regular,Private,Semi-Urban,Regional,2
Anna University,Nursing,General,General Studies,3,8.67,Teaching,Online,Deemed,Semi-Urban,English,1
KIIT Bhubaneswar,M.Com,Commerce,Banking,1,9.04,Research,Distance,Government,Rural,Hindi,0
Stanford University,B.Des UI/UX,General,General Studies,1,6.77,Teaching,Online,Government,Semi-Urban,Hindi,0
IIT Guwahati,MA Psychology,Arts,English,6,5.8,Research,Distance,Private,Urban,Hindi,0
Osmania University,B.Arch,General,General Studies,3,8.24,Job,Distance,Deemed,Urban,Regional,0
Symbiosis International University,Nursing,General,General Studies,7,8.51,Teaching,Regular,Private,Semi-Urban,Hindi,1
IIT Delhi,B.Tech Electronics,Engineering,Computer Science,8,7.52,Job,Online,Private,Rural,English,2
Banaras Hindu University,LLB,Law,Corporate Law,3,5.72,Job,Regular,Deemed,Urban,Hindi,0
Madras University,MA English,Arts,History,1,9.22,Job,Online,Deemed,Semi-Urban,Hindi,1
UPES Dehradun,M.Tech AI,Engineering,Electrical,4,8.23,Research,Regular,Deemed,Semi-Urban,English,0
University of Oxford,B.Ed,Education,Teaching,4,9.35,Research,Online,Private,Urban,Regional,1
IISc Bangalore,BA Psychology,Arts,Political Science,3,9.66,Research,Regular,Private,Rural,English,2
Teerthanker Mahaveer University (TMU),Hotel Management,Management,HR,8,9.03,Research,Regular,Deemed,Rural,English,2
University of Cambridge,B.Tech Computer Science,Engineering,Electrical,1,9.79,Job,Online,Deemed,Urban,Hindi,1
BIT Mesra,B.Tech Civil,Engineering,Computer Science,1,9.77,Research,Regular,Private,Rural,Hindi,2
UPES Dehradun,LLB,Law,Corporate Law,2,8.1,Job,Regular,Deemed,Semi-Urban,Hindi,0
Ashoka University,B.Tech Civil,Engineering,Mechanical,1,8.64,Job,Online,Government,Rural,Hindi,0
Anna University,B.Arch,General,General Studies,6,8.5,Research,Online,Deemed,Urban,English,1
Jamia Millia Islamia,MA Psychology,Arts,English,4,8.11,Job,Distance,Government,Urban,Regional,0
Shiv Nadar University,Mass Communication,Commerce,Accounting,2,5.1,Research,Online,Government,Urban,Regional,0
KIIT Bhubaneswar,LLB,Law,Corporate Law,7,6.78,Job,Distance,Private,Semi-Urban,Hindi,0
Amity University,B.Des UI/UX,General,General Studies,6,5.5,Teaching,Regular,Private,Semi-Urban,Hindi,0
IIT Kanpur,M.Tech AI,Engineering,Mechanical,7,6.5,Research,Online,Private,Semi-Urban,Hindi,1
IIT Delhi,MBA Marketing,Management,Finance,4,5.34,Job,Distance,Deemed,Urban,Regional,0
IIT Roorkee,B.Des UI/UX,General,General Studies,6,9.6,Research,Online,Private,Rural,English,2
Christ University,B.Sc Data Science,IT,Data Science,5,7.26,Job,Distance,Deemed,Semi-Urban,English,2
Sharda University,BA English,Arts,History,3,5.95,Research,Distance,Private,Urban,Regional,0
IIT Kanpur,B.Tech Mechanical,Engineering,Computer Science,8,7.92,Teaching,Online,Government,Urban,English,1
Christ University,BA Psychology,Arts,English,5,5.98,Teaching,Regular,Private,Semi-Urban,Regional,0
Rajasthan University,BA Psychology,Arts,History,3,9.02,Research,Regular,Government,Rural,English,2
Aligarh Muslim University,BCA,IT,Data Science,4,6.53,Research,Distance,Deemed,Semi-Urban,English,0
Osmania University,MA Psychology,Arts,History,4,6.57,Job,Distance,Private,Rural,Hindi,0
Teerthanker Mahaveer University (TMU),B.Sc Data Science,IT,Data Science,5,9.35,Job,Regular,Private,Urban,Regional,1
Amrita University,BA English,Arts,History,8,7.8,Research,Online,Government,Urban,Regional,0
IIT Hyderabad,B.Pharma,Medical,Dentistry,6,9.44,Teaching,Online,Private,Urban,Hindi,1
Shiv Nadar University,B.Tech Mechanical,Engineering,Mechanical,8,7.06,Teaching,Regular,Deemed,Rural,Hindi,1
Anna University,BA Psychology,Arts,English,7,6.72,Research,Regular,Government,Semi-Urban,Regional,1
SRM University,BA English,Arts,English,3,7.53,Job,Regular,Deemed,Semi-Urban,Regional,0
Graphic Era University,B.Tech Electronics,Engineering,Civil,3,5.31,Research,Distance,Deemed,Rural,Hindi,0
Jadavpur University,MA English,Arts,History,2,5.77,Research,Regular,Government,Semi-Urban,Regional,0
BIT Mesra,BCA,IT,Software,1,6.1,Teaching,Regular,Deemed,Rural,Hindi,1
Anna University,BA English,Arts,History,6,9.08,Teaching,Regular,Private,Semi-Urban,Regional,1
Lucknow University,B.Tech Electrical,Engineering,Civil,6,8.67,Job,Regular,Deemed,Semi-Urban,Hindi,2
University of Oxford,B.Arch,General,General Studies,2,5.97,Job,Online,Private,Rural,Regional,0
Massachusetts Institute of Technology (MIT USA),B.Tech Electronics,Engineering,Computer Science,4,6.38,Research,Online,Government,Semi-Urban,Regional,0
Amity University,PhD Research,Research,Interdisciplinary,5,9.72,Research,Regular,Private,Urban,English,1
University of Mumbai,MBA Finance,Management,HR,8,5.43,Research,Distance,Deemed,Urban,Regional,0
University of Hyderabad,B.Tech Electrical,Engineering,Computer Science,6,7.74,Research,Distance,Private,Rural,Hindi,1
IFTM University,M.Des Interaction,General,General Studies,3,7.61,Teaching,Online,Deemed,Semi-Urban,English,0
Aligarh Muslim University,B.Ed,Education,Teaching,2,8.63,Job,Distance,Private,Rural,Hindi,1
UPES Dehradun,B.Sc Data Science,IT,AI,5,6.31,Job,Distance,Government,Rural,Hindi,0
Symbiosis International University,B.Tech Electrical,Engineering,Electrical,7,9.67,Job,Online,Government,Semi-Urban,Hindi,1
Patna University,M.Des Interaction,General,General Studies,5,7.05,Job,Regular,Private,Urban,Hindi,1
Osmania University,MBA HR,Management,HR,6,6.43,Teaching,Regular,Government,Urban,Regional,1
Allahabad University,B.Tech Electronics,Engineering,Electrical,1,6.68,Research,Online,Private,Semi-Urban,Hindi,2
University of Oxford,MA English,Arts,English,8,6.74,Job,Regular,Deemed,Urban,English,2
University of Oxford,BA Psychology,Arts,English,3,5.99,Job,Regular,Private,Rural,English,0
University of Oxford,MBA Finance,Management,Finance,5,9.64,Research,Online,Deemed,Rural,Hindi,1
IFTM University,MA English,Arts,Political Science,7,5.87,Teaching,Online,Private,Rural,Regional,0
Galgotias University,BA English,Arts,Political Science,3,9.41,Teaching,Online,Deemed,Urban,English,0
Rajasthan University,PhD Research,Research,Interdisciplinary,6,7.02,Job,Distance,Government,Semi-Urban,Regional,1
Jadavpur University,M.Des Interaction,General,General Studies,2,6.35,Job,Online,Private,Semi-Urban,English,0
IFTM University,BBA,Management,HR,7,5.99,Job,Online,Government,Rural,Hindi,0
IIT Madras,B.Des UI/UX,General,General Studies,5,7.52,Teaching,Online,Government,Rural,English,0
Allahabad University,BA English,Arts,History,7,8.35,Job,Online,Deemed,Rural,Hindi,1
IISc Bangalore,B.Tech Computer Science,Engineering,Computer Science,6,9.49,Research,Regular,Government,Urban,Regional,2
IIT Guwahati,B.Com,Commerce,Accounting,5,8.26,Teaching,Online,Deemed,Semi-Urban,English,1
Patna University,Cyber Security Specialization,General,General Studies,7,7.42,Teaching,Online,Government,Semi-Urban,English,1
IIT Madras,B.Sc Data Science,IT,Data Science,2,5.17,Research,Distance,Government,Urban,Hindi,0
Teerthanker Mahaveer University (TMU),B.Com,Commerce,Banking,7,9.58,Research,Distance,Private,Semi-Urban,Regional,1
BIT Mesra,Nursing,General,General Studies,3,9.51,Teaching,Regular,Private,Rural,Hindi,1
Patna University,M.Des Interaction,General,General Studies,3,6.89,Job,Online,Deemed,Semi-Urban,Hindi,0
IIT BHU,LLM,General,General Studies,5,5.15,Teaching,Online,Government,Semi-Urban,Regional,0
PES University,B.Pharma,Medical,Dentistry,6,8.67,Job,Online,Government,Urban,Hindi,1
Jamia Millia Islamia,BA Psychology,Arts,English,2,8.96,Research,Distance,Private,Semi-Urban,Hindi,1
BIT Mesra,MBA Finance,Management,HR,4,7.71,Job,Regular,Deemed,Rural,Regional,1
Ashoka University,MA Psychology,Arts,History,3,7.01,Research,Distance,Private,Urban,English,0
Ashoka University,B.Tech Computer Science,Engineering,Mechanical,7,9.26,Job,Online,Government,Urban,Regional,1
MIT Manipal,LLB,Law,Criminal Law,4,5.96,Job,Distance,Deemed,Urban,Regional,0
Harvard University,B.Tech Computer Science,Engineering,Electrical,7,7.2,Research,Online,Government,Rural,Regional,0
IIT Kharagpur,M.Sc Data Science,IT,Data Science,5,5.12,Job,Online,Private,Semi-Urban,Hindi,0
Sharda University,Cyber Security Specialization,General,General Studies,4,5.82,Teaching,Online,Deemed,Urban,Regional,0
Chandigarh University,LLM,General,General Studies,6,9.7,Job,Regular,Private,Rural,Hindi,1
Stanford University,MA English,Arts,English,7,7.89,Teaching,Distance,Government,Rural,Regional,2
Galgotias University,Cyber Security Specialization,General,General Studies,6,9.03,Research,Online,Government,Rural,Regional,1
Madras University,B.Pharma,Medical,Dentistry,7,7.43,Job,Online,Private,Semi-Urban,Hindi,0
IISc Bangalore,Nursing,General,General Studies,4,9.17,Job,Regular,Government,Rural,Hindi,1
IIT Guwahati,MA English,Arts,History,6,7.69,Teaching,Regular,Private,Semi-Urban,English,2
BIT Mesra,B.Ed,Education,Teaching,3,5.02,Teaching,Online,Private,Urban,English,0
IIT Indore,MA English,Arts,Political Science,5,9.5,Research,Online,Deemed,Urban,Hindi,1
Amrita University,MCA,IT,Data Science,4,5.74,Teaching,Online,Government,Semi-Urban,English,0
MIT Manipal,Animation & VFX,Design,Product Design,7,7.25,Teaching,Online,Government,Rural,Hindi,0
Graphic Era University,Mass Communication,Commerce,Banking,3,7.38,Teaching,Regular,Private,Urban,English,1
OP Jindal Global University,BCA,IT,AI,7,5.24,Job,Distance,Deemed,Semi-Urban,English,0
Lucknow University,MA English,Arts,English,4,5.27,Job,Regular,Private,Rural,Hindi,0
Patna University,B.Sc Data Science,IT,Software,7,8.81,Job,Regular,Government,Urban,Regional,2
Thapar University,B.Sc Data Science,IT,Data Science,3,6.5,Job,Distance,Deemed,Semi-Urban,Hindi,0
Ashoka University,MCA,IT,AI,6,7.05,Job,Online,Deemed,Rural,English,1
Teerthanker Mahaveer University (TMU),MA English,Arts,History,6,7.82,Teaching,Online,Private,Rural,English,1
Amity University,B.Tech Electronics,Engineering,Electrical,8,6.87,Teaching,Distance,Private,Rural,Hindi,0
Pune University,MBA HR,Management,Marketing,8,8.88,Job,Regular,Deemed,Semi-Urban,English,2
Punjab University,Nursing,General,General Studies,5,9.42,Job,Online,Government,Semi-Urban,Hindi,1
Ashoka University,PhD Research,Research,Interdisciplinary,7,5.3,Research,Distance,Government,Rural,English,0
IIT Madras,B.Tech Electrical,Engineering,Mechanical,6,8.18,Research,Distance,Deemed,Rural,English,2
Ashoka University,MA Psychology,Arts,Political Science,2,6.59,Teaching,Distance,Private,Rural,Regional,0
Thapar University,B.Arch,General,General Studies,3,7.92,Research,Online,Private,Rural,Hindi,0
UPES Dehradun,Nursing,General,General Studies,3,7.42,Teaching,Distance,Government,Rural,Regional,0
Anna University,MBA Finance,Management,Finance,4,6.67,Research,Regular,Government,Rural,Regional,0
IIT Bombay,B.Tech Mechanical,Engineering,Electrical,5,5.47,Job,Regular,Deemed,Urban,English,1
IIT Madras,MBA HR,Management,Marketing,1,7.8,Job,Distance,Government,Rural,Hindi,1
IIT Kharagpur,LLM,General,General Studies,8,5.56,Teaching,Distance,Government,Semi-Urban,English,1
Osmania University,Animation & VFX,Design,UI/UX,8,5.78,Teaching,Distance,Private,Semi-Urban,Hindi,0
OP Jindal Global University,B.Des UI/UX,General,General Studies,6,9.91,Teaching,Regular,Private,Semi-Urban,Regional,1
Anna University,MA Psychology,Arts,Political Science,8,6.58,Teaching,Online,Government,Semi-Urban,English,1
Chandigarh University,B.Tech Electrical,Engineering,Mechanical,1,7.92,Research,Regular,Private,Urban,English,1
Punjab University,B.Com,Commerce,Accounting,2,6.36,Job,Distance,Private,Urban,Regional,0
IIT Guwahati,M.Des Interaction,General,General Studies,5,9.33,Research,Online,Private,Semi-Urban,Regional,1
Jadavpur University,B.Arch,General,General Studies,3,6.42,Job,Online,Government,Semi-Urban,Hindi,0
Jadavpur University,B.Tech Computer Science,Engineering,Mechanical,1,6.83,Job,Distance,Private,Semi-Urban,English,0
Osmania University,BCA,IT,AI,2,8.04,Research,Distance,Government,Semi-Urban,Regional,1
Sharda University,Animation & VFX,Design,UI/UX,5,9.35,Teaching,Regular,Government,Semi-Urban,Hindi,1
University of Oxford,MBA Finance,Management,HR,2,9.08,Research,Regular,Deemed,Urban,Hindi,1
Delhi University,B.Tech Electronics,Engineering,Electrical,6,6.32,Research,Regular,Deemed,Urban,Regional,2
PES University,MBA Finance,Management,Finance,8,9.15,Research,Distance,Deemed,Urban,English,1
BITS Pilani,MA English,Arts,History,1,8.51,Job,Online,Government,Rural,Regional,0
Chandigarh University,B.Tech Mechanical,Engineering,Mechanical,4,9.95,Teaching,Regular,Deemed,Semi-Urban,Regional,1
DIT University,M.Sc Data Science,IT,Data Science,4,9.68,Job,Distance,Private,Semi-Urban,Hindi,0
RV College of Engineering,B.Com,Commerce,Accounting,5,7.67,Research,Online,Deemed,Rural,Hindi,0
University of Cambridge,PhD Research,Research,Interdisciplinary,2,8.75,Research,Distance,Government,Semi-Urban,Hindi,1
BITS Pilani,BA English,Arts,Political Science,3,7.85,Job,Distance,Private,Rural,Regional,0
IIT Kanpur,B.Tech Electrical,Engineering,Mechanical,1,7.97,Job,Distance,Private,Rural,Hindi,1
VIT Vellore,BCA,IT,Data Science,4,5.51,Teaching,Regular,Private,Rural,Regional,0
Thapar University,Animation & VFX,Design,Product Design,4,5.01,Research,Distance,Deemed,Rural,Regional,0
Lucknow University,Mass Communication,Commerce,Banking,2,5.24,Job,Distance,Deemed,Semi-Urban,Hindi,0
Chandigarh University,M.Tech AI,Engineering,Civil,4,9.83,Job,Distance,Deemed,Rural,Regional,0
IFTM University,Mass Communication,Commerce,Accounting,7,5.63,Job,Regular,Deemed,Semi-Urban,Hindi,0
Jadavpur University,B.Com,Commerce,Banking,8,5.22,Job,Distance,Private,Rural,Regional,0
Bennett University,MBA HR,Management,HR,2,6.55,Research,Distance,Government,Urban,Regional,0
Rajasthan University,M.Tech AI,Engineering,Mechanical,1,7.94,Teaching,Regular,Deemed,Semi-Urban,Hindi,1
Shiv Nadar University,Cyber Security Specialization,General,General Studies,2,9.74,Job,Distance,Government,Rural,Regional,0
Delhi University,B.Tech Civil,Engineering,Civil,4,8.5,Job,Online,Private,Rural,Regional,0
BITS Pilani,B.Tech Civil,Engineering,Electrical,2,6.38,Teaching,Distance,Government,Rural,Hindi,0
IISc Bangalore,LLM,General,General Studies,4,9.7,Research,Distance,Government,Urban,English,2
Harvard University,LLM,General,General Studies,6,5.18,Job,Regular,Deemed,Semi-Urban,Hindi,0
PES University,M.Sc Data Science,IT,Data Science,5,9.9,Teaching,Regular,Deemed,Urban,English,1
Pune University,B.Tech Civil,Engineering,Civil,4,5.29,Teaching,Regular,Private,Urban,Regional,0
Madras University,MBA Finance,Management,HR,7,8.77,Research,Regular,Deemed,Urban,English,2
IIT Delhi,B.Ed,Education,Teaching,7,5.23,Teaching,Online,Government,Semi-Urban,Hindi,0
Sharda University,BA English,Arts,English,7,9.66,Research,Distance,Government,Urban,Regional,1
IFTM University,BCA,IT,AI,7,5.54,Teaching,Distance,Government,Semi-Urban,English,0
Massachusetts Institute of Technology (MIT USA),MBA Marketing,Management,Marketing,4,5.25,Job,Online,Government,Semi-Urban,Hindi,0
Symbiosis International University,B.Tech Mechanical,Engineering,Electrical,4,9.45,Research,Regular,Deemed,Rural,English,1
IIT Roorkee,B.Tech Electrical,Engineering,Civil,5,5.48,Teaching,Distance,Private,Urban,Hindi,0
Madras University,M.Sc Data Science,IT,Data Science,6,8.99,Job,Online,Deemed,Urban,Regional,1
Madras University,M.Des Interaction,General,General Studies,8,8.74,Teaching,Distance,Government,Urban,Hindi,1
Teerthanker Mahaveer University (TMU),BA English,Arts,History,3,7.99,Job,Online,Private,Semi-Urban,English,0
Teerthanker Mahaveer University (TMU),M.Tech AI,Engineering,Mechanical,4,6.89,Research,Online,Private,Semi-Urban,Regional,0
Banaras Hindu University,BA Psychology,Arts,History,3,9.58,Job,Distance,Government,Semi-Urban,Regional,1
VIT Vellore,B.Tech Electronics,Engineering,Electrical,1,9.36,Teaching,Regular,Government,Urban,Hindi,1
IIT BHU,Cyber Security Specialization,General,General Studies,6,7.13,Job,Regular,Deemed,Semi-Urban,Regional,2
Stanford University,M.Sc Data Science,IT,AI,8,6.16,Job,Online,Private,Semi-Urban,English,1
OP Jindal Global University,B.Sc Data Science,IT,Data Science,2,6.36,Research,Regular,Private,Semi-Urban,Regional,0
Madras University,B.Pharma,Medical,Dentistry,3,6.1,Job,Distance,Deemed,Rural,Hindi,0
Allahabad University,MBA Marketing,Management,Marketing,7,7.71,Job,Online,Government,Semi-Urban,Hindi,0
Chandigarh University,BA Psychology,Arts,History,6,9.34,Teaching,Distance,Private,Urban,Regional,2
MIT Manipal,LLB,Law,Criminal Law,1,8.87,Teaching,Distance,Deemed,Semi-Urban,English,1
IIT Madras,M.Des Interaction,General,General Studies,6,8.98,Research,Regular,Private,Rural,Regional,2
Massachusetts Institute of Technology (MIT USA),B.Tech Electrical,Engineering,Computer Science,2,7.24,Research,Distance,Deemed,Semi-Urban,Regional,0
Punjab University,M.Des Interaction,General,General Studies,4,6.61,Research,Online,Private,Semi-Urban,Hindi,0
Massachusetts Institute of Technology (MIT USA),B.Tech Civil,Engineering,Computer Science,4,8.79,Teaching,Online,Government,Rural,Regional,0
RV College of Engineering,B.Tech Electrical,Engineering,Computer Science,7,8.97,Job,Distance,Government,Urban,English,1
Delhi University,Animation & VFX,Design,UI/UX,4,8.48,Research,Distance,Private,Rural,English,1
Galgotias University,B.Arch,General,General Studies,5,5.16,Teaching,Online,Private,Semi-Urban,English,0
IIT Bombay,MBA Marketing,Management,Finance,5,7.95,Teaching,Regular,Private,Semi-Urban,English,1
Chandigarh University,B.Tech Electrical,Engineering,Electrical,5,6.74,Research,Regular,Deemed,Semi-Urban,English,0
IIT Roorkee,MBA HR,Management,Marketing,7,5.98,Teaching,Regular,Government,Semi-Urban,Regional,1
BIT Mesra,MBA Marketing,Management,HR,5,8.47,Job,Distance,Deemed,Urban,English,1
Punjab University,B.Pharma,Medical,Dentistry,1,6.34,Teaching,Distance,Government,Semi-Urban,English,0
IIT Guwahati,M.Tech AI,Engineering,Electrical,8,9.56,Teaching,Online,Government,Semi-Urban,Regional,0
Thapar University,BA English,Arts,Political Science,7,6.49,Job,Online,Deemed,Rural,Regional,0
MIT Manipal,BA English,Arts,History,6,7.78,Research,Online,Government,Urban,English,1
PES University,B.Tech Mechanical,Engineering,Mechanical,1,9.14,Teaching,Online,Government,Rural,English,1
Sharda University,MBA Marketing,Management,HR,4,7.01,Job,Regular,Private,Semi-Urban,Hindi,0
Teerthanker Mahaveer University (TMU),B.Tech Mechanical,Engineering,Computer Science,2,9.14,Research,Distance,Deemed,Semi-Urban,English,1
Patna University,Nursing,General,General Studies,5,8.62,Job,Distance,Deemed,Semi-Urban,English,1
Jadavpur University,MBBS,Medical,General Medicine,6,9.6,Teaching,Regular,Government,Urban,Hindi,1
Harvard University,LLM,General,General Studies,2,6.63,Job,Online,Deemed,Semi-Urban,Regional,0
Christ University,B.Tech Civil,Engineering,Civil,7,5.53,Research,Online,Government,Rural,Regional,0
BITS Pilani,MBA Finance,Management,Marketing,7,7.15,Research,Distance,Government,Rural,Regional,0
BITS Pilani,M.Des Interaction,General,General Studies,1,8.93,Research,Online,Deemed,Urban,English,1
Patna University,B.Tech Electronics,Engineering,Mechanical,5,7.25,Job,Distance,Government,Semi-Urban,Hindi,0
Galgotias University,MA Psychology,Arts,History,7,6.31,Job,Regular,Private,Semi-Urban,Hindi,1
RV College of Engineering,MBA Marketing,Management,Finance,1,5.14,Research,Distance,Deemed,Semi-Urban,English,0
DIT University,MBA Finance,Management,Marketing,1,6.57,Research,Regular,Deemed,Urban,English,2
DIT University,MBA Marketing,Management,Marketing,3,8.57,Research,Online,Government,Urban,English,1
Stanford University,M.Sc Data Science,IT,Data Science,6,5.74,Teaching,Distance,Deemed,Semi-Urban,English,0
RV College of Engineering,Hotel Management,Management,Finance,1,6.7,Teaching,Online,Deemed,Rural,Regional,0
IIT Indore,M.Com,Commerce,Banking,4,5.1,Teaching,Online,Private,Urban,Hindi,0
Chandigarh University,B.Tech Civil,Engineering,Civil,7,8.61,Research,Online,Private,Urban,Hindi,1
IIT Delhi,B.Tech Electronics,Engineering,Computer Science,1,9.4,Teaching,Distance,Deemed,Rural,Hindi,1
IIT Bombay,MBBS,Medical,General Medicine,5,7.84,Research,Online,Government,Rural,Regional,1
DIT University,BBA,Management,Marketing,7,5.13,Job,Distance,Private,Semi-Urban,Regional,0
Thapar University,BCA,IT,AI,8,6.09,Research,Online,Private,Semi-Urban,Hindi,0
DIT University,M.Sc Data Science,IT,AI,8,7.19,Research,Regular,Private,Semi-Urban,Regional,1
Manipal Institute of Technology,Mass Communication,Commerce,Banking,7,7.94,Teaching,Distance,Government,Semi-Urban,Regional,0
Jamia Millia Islamia,B.Tech Civil,Engineering,Computer Science,4,7.48,Job,Regular,Deemed,Urban,Hindi,1
